MonthKey,SurrogateKey,Name,Quarter,Year,Decade
1,0,January,1,2005-01-01,2000-01-01
2,1,Febuary,1,2005-01-01,2000-01-01
3,2,March,1,2005-01-01,2000-01-01
4,3,April,2,2005-01-01,2000-01-01
5,4,May,2,2005-01-01,2000-01-01
6,5,June,2,2005-01-01,2000-01-01
7,6,July,3,2005-01-01,2000-01-01
8,7,August,3,2005-01-01,2000-01-01
9,8,September,3,2005-01-01,2000-01-01
10,9,October,4,2005-01-01,2000-01-01
11,10,November,4,2005-01-01,2000-01-01
12,11,December,4,2005-01-01,2000-01-01
13,12,January,1,2006-01-01,2000-01-01
14,13,Febuary,1,2006-01-01,2000-01-01
15,14,March,1,2006-01-01,2000-01-01
16,15,April,2,2006-01-01,2000-01-01
17,16,May,2,2006-01-01,2000-01-01
18,17,June,2,2006-01-01,2000-01-01
19,18,July,3,2006-01-01,2000-01-01
20,19,August,3,2006-01-01,2000-01-01
21,20,September,3,2006-01-01,2000-01-01
22,21,October,4,2006-01-01,2000-01-01
23,22,November,4,2006-01-01,2000-01-01
24,23,December,4,2006-01-01,2000-01-01
25,24,January,1,2007-01-01,2000-01-01
26,25,Febuary,1,2007-01-01,2000-01-01
27,26,March,1,2007-01-01,2000-01-01
28,27,April,2,2007-01-01,2000-01-01
29,28,May,2,2007-01-01,2000-01-01
30,29,June,2,2007-01-01,2000-01-01
31,30,July,3,2007-01-01,2000-01-01
32,31,August,3,2007-01-01,2000-01-01
33,32,September,3,2007-01-01,2000-01-01
34,33,October,4,2007-01-01,2000-01-01
35,34,November,4,2007-01-01,2000-01-01
36,35,December,4,2007-01-01,2000-01-01
37,36,January,1,2008-01-01,2000-01-01
38,37,Febuary,1,2008-01-01,2000-01-01
39,38,March,1,2008-01-01,2000-01-01
40,39,April,2,2008-01-01,2000-01-01
41,40,May,2,2008-01-01,2000-01-01
42,41,June,2,2008-01-01,2000-01-01
43,42,July,3,2008-01-01,2000-01-01
44,43,August,3,2008-01-01,2000-01-01
45,44,September,3,2008-01-01,2000-01-01
46,45,October,4,2008-01-01,2000-01-01
47,46,November,4,2008-01-01,2000-01-01
48,47,December,4,2008-01-01,2000-01-01
49,48,January,1,2009-01-01,2000-01-01
50,49,Febuary,1,2009-01-01,2000-01-01
51,50,March,1,2009-01-01,2000-01-01
52,51,April,2,2009-01-01,2000-01-01
53,52,May,2,2009-01-01,2000-01-01
54,53,June,2,2009-01-01,2000-01-01
55,54,July,3,2009-01-01,2000-01-01
56,55,August,3,2009-01-01,2000-01-01
57,56,September,3,2009-01-01,2000-01-01
58,57,October,4,2009-01-01,2000-01-01
59,58,November,4,2009-01-01,2000-01-01
60,59,December,4,2009-01-01,2000-01-01
61,60,January,1,2010-01-01,2010-01-01
62,61,Febuary,1,2010-01-01,2010-01-01
63,62,March,1,2010-01-01,2010-01-01
64,63,April,2,2010-01-01,2010-01-01
65,64,May,2,2010-01-01,2010-01-01
66,65,June,2,2010-01-01,2010-01-01
67,66,July,3,2010-01-01,2010-01-01
68,67,August,3,2010-01-01,2010-01-01
69,68,September,3,2010-01-01,2010-01-01
70,69,October,4,2010-01-01,2010-01-01
71,70,November,4,2010-01-01,2010-01-01
72,71,December,4,2010-01-01,2010-01-01
73,72,January,1,2011-01-01,2010-01-01
74,73,Febuary,1,2011-01-01,2010-01-01
75,74,March,1,2011-01-01,2010-01-01
76,75,April,2,2011-01-01,2010-01-01
77,76,May,2,2011-01-01,2010-01-01
78,77,June,2,2011-01-01,2010-01-01
79,78,July,3,2011-01-01,2010-01-01
80,79,August,3,2011-01-01,2010-01-01
81,80,September,3,2011-01-01,2010-01-01
82,81,October,4,2011-01-01,2010-01-01
83,82,November,4,2011-01-01,2010-01-01
84,83,December,4,2011-01-01,2010-01-01
85,84,January,1,2012-01-01,2010-01-01
86,85,Febuary,1,2012-01-01,2010-01-01
87,86,March,1,2012-01-01,2010-01-01
88,87,April,2,2012-01-01,2010-01-01
89,88,May,2,2012-01-01,2010-01-01
90,89,June,2,2012-01-01,2010-01-01
91,90,July,3,2012-01-01,2010-01-01
92,91,August,3,2012-01-01,2010-01-01
93,92,September,3,2012-01-01,2010-01-01
94,93,October,4,2012-01-01,2010-01-01
95,94,November,4,2012-01-01,2010-01-01
96,95,December,4,2012-01-01,2010-01-01
97,96,January,1,2013-01-01,2010-01-01
98,97,Febuary,1,2013-01-01,2010-01-01
99,98,March,1,2013-01-01,2010-01-01
100,99,April,2,2013-01-01,2010-01-01
101,100,May,2,2013-01-01,2010-01-01
102,101,June,2,2013-01-01,2010-01-01
103,102,July,3,2013-01-01,2010-01-01
104,103,August,3,2013-01-01,2010-01-01
105,104,September,3,2013-01-01,2010-01-01
106,105,October,4,2013-01-01,2010-01-01
107,106,November,4,2013-01-01,2010-01-01
108,107,December,4,2013-01-01,2010-01-01
109,108,January,1,2014-01-01,2010-01-01
110,109,Febuary,1,2014-01-01,2010-01-01
111,110,March,1,2014-01-01,2010-01-01
112,111,April,2,2014-01-01,2010-01-01
113,112,May,2,2014-01-01,2010-01-01
114,113,June,2,2014-01-01,2010-01-01
115,114,July,3,2014-01-01,2010-01-01
116,115,August,3,2014-01-01,2010-01-01
117,116,September,3,2014-01-01,2010-01-01
118,117,October,4,2014-01-01,2010-01-01
119,118,November,4,2014-01-01,2010-01-01
120,119,December,4,2014-01-01,2010-01-01
121,120,January,1,2015-01-01,2010-01-01
122,121,Febuary,1,2015-01-01,2010-01-01
123,122,March,1,2015-01-01,2010-01-01
124,123,April,2,2015-01-01,2010-01-01
125,124,May,2,2015-01-01,2010-01-01
126,125,June,2,2015-01-01,2010-01-01
127,126,July,3,2015-01-01,2010-01-01
128,127,August,3,2015-01-01,2010-01-01
129,128,September,3,2015-01-01,2010-01-01
130,129,October,4,2015-01-01,2010-01-01
131,130,November,4,2015-01-01,2010-01-01
132,131,December,4,2015-01-01,2010-01-01
133,132,January,1,2016-01-01,2010-01-01
134,133,Febuary,1,2016-01-01,2010-01-01
135,134,March,1,2016-01-01,2010-01-01
136,135,April,2,2016-01-01,2010-01-01
137,136,May,2,2016-01-01,2010-01-01
138,137,June,2,2016-01-01,2010-01-01
139,138,July,3,2016-01-01,2010-01-01
140,139,August,3,2016-01-01,2010-01-01
141,140,September,3,2016-01-01,2010-01-01
142,141,October,4,2016-01-01,2010-01-01
143,142,November,4,2016-01-01,2010-01-01
144,143,December,4,2016-01-01,2010-01-01
145,144,January,1,2017-01-01,2010-01-01
146,145,Febuary,1,2017-01-01,2010-01-01
147,146,March,1,2017-01-01,2010-01-01
148,147,April,2,2017-01-01,2010-01-01
149,148,May,2,2017-01-01,2010-01-01
150,149,June,2,2017-01-01,2010-01-01
151,150,July,3,2017-01-01,2010-01-01
152,151,August,3,2017-01-01,2010-01-01
153,152,September,3,2017-01-01,2010-01-01
154,153,October,4,2017-01-01,2010-01-01
155,154,November,4,2017-01-01,2010-01-01
156,155,December,4,2017-01-01,2010-01-01
157,156,January,1,2018-01-01,2010-01-01
158,157,Febuary,1,2018-01-01,2010-01-01
159,158,March,1,2018-01-01,2010-01-01
160,159,April,2,2018-01-01,2010-01-01
161,160,May,2,2018-01-01,2010-01-01
162,161,June,2,2018-01-01,2010-01-01
163,162,July,3,2018-01-01,2010-01-01
164,163,August,3,2018-01-01,2010-01-01
165,164,September,3,2018-01-01,2010-01-01
166,165,October,4,2018-01-01,2010-01-01
167,166,November,4,2018-01-01,2010-01-01
168,167,December,4,2018-01-01,2010-01-01
169,168,January,1,2019-01-01,2010-01-01
170,169,Febuary,1,2019-01-01,2010-01-01
171,170,March,1,2019-01-01,2010-01-01
172,171,April,2,2019-01-01,2010-01-01
173,172,May,2,2019-01-01,2010-01-01
174,173,June,2,2019-01-01,2010-01-01
175,174,July,3,2019-01-01,2010-01-01
176,175,August,3,2019-01-01,2010-01-01
177,176,September,3,2019-01-01,2010-01-01
178,177,October,4,2019-01-01,2010-01-01
179,178,November,4,2019-01-01,2010-01-01
180,179,December,4,2019-01-01,2010-01-01
181,180,January,1,2020-01-01,2020-01-01
182,181,Febuary,1,2020-01-01,2020-01-01
183,182,March,1,2020-01-01,2020-01-01
184,183,April,2,2020-01-01,2020-01-01
185,184,May,2,2020-01-01,2020-01-01
186,185,June,2,2020-01-01,2020-01-01
187,186,July,3,2020-01-01,2020-01-01
188,187,August,3,2020-01-01,2020-01-01
189,188,September,3,2020-01-01,2020-01-01
190,189,October,4,2020-01-01,2020-01-01
191,190,November,4,2020-01-01,2020-01-01
192,191,December,4,2020-01-01,2020-01-01
193,192,January,1,2021-01-01,2020-01-01
194,193,Febuary,1,2021-01-01,2020-01-01
195,194,March,1,2021-01-01,2020-01-01
196,195,April,2,2021-01-01,2020-01-01
197,196,May,2,2021-01-01,2020-01-01
198,197,June,2,2021-01-01,2020-01-01
199,198,July,3,2021-01-01,2020-01-01
200,199,August,3,2021-01-01,2020-01-01
201,200,September,3,2021-01-01,2020-01-01
202,201,October,4,2021-01-01,2020-01-01
203,202,November,4,2021-01-01,2020-01-01
204,203,December,4,2021-01-01,2020-01-01
205,204,January,1,2022-01-01,2020-01-01
206,205,Febuary,1,2022-01-01,2020-01-01
207,206,March,1,2022-01-01,2020-01-01
208,207,April,2,2022-01-01,2020-01-01
209,208,May,2,2022-01-01,2020-01-01
210,209,June,2,2022-01-01,2020-01-01
211,210,July,3,2022-01-01,2020-01-01
212,211,August,3,2022-01-01,2020-01-01
213,212,September,3,2022-01-01,2020-01-01
214,213,October,4,2022-01-01,2020-01-01
215,214,November,4,2022-01-01,2020-01-01
216,215,December,4,2022-01-01,2020-01-01
